Estado,Taxa.Urb,RendapC,Total,Sobre65,Homens,Mulheres,Prob60-68,TMI,TN,TH2015,Esgoto11,Regiao,Esgoto.Dom17
DF,96.62,2254,77.8,84,74.1,81.3,641,10.8,17.3,25.5,100,Centroeste,83
SP,95.88,1482,77.8,84.1,74.6,80.9,622,10.2,13.3,10.9,78,Suldeste,64
PR,85.31,1241,76.8,83.5,73.4,80.2,608,9.7,12.9,27.4,41,Sul,64
GO,90.29,1078,74,82.4,70.9,77.3,557,15.3,15.2,45.3,24,Centroeste,48
MG,83.38,1128,77,84.1,74.1,79.9,620,11.4,15.1,22,23,Suldeste,44
PB,75.37,774,72.9,82.3,69,76.8,569,17,17.4,33.9,20,Nordeste,43
RJ,96.71,1284,75.9,83.4,72.3,79.3,588,11.9,11.9,36.4,59,Suldeste,42
MS,85.64,1044,75.3,83.2,71.9,79,589,17.3,16.9,25,44,Centroeste,42
ES,85.26,1074,77.9,85,74,81.9,647,9.2,16.5,32,69,Suldeste,41
CE,75.09,681,73.6,82.7,69.7,77.6,577,15.1,17.9,40.6,49,Nordeste,40
AC,72.61,752,73.6,82.9,70.4,77.2,571,17.6,23.9,44.4,18,Norte,33
TO,78.81,816,73.1,82.4,70.2,76.4,568,16.3,18.4,37.6,11,Norte,29
PE,80.15,825,73.5,82.2,69.5,77.4,559,13.3,17.4,47.3,28,Nordeste,27
SC,83.99,1398,78.7,84.6,75.4,82.1,641,9.5,12.5,14.2,16,Sul,26
RS,85.1,1434,77.5,83.9,74,80.9,615,9.9,11.6,28.6,15,Sul,26
RN,77.82,819,75.5,83.4,71.5,79.5,613,15.3,17.9,53.4,23,Nordeste,25
MT,81.9,1053,74,82.6,70.9,77.6,557,17.3,17.3,35.7,16,Centroeste,22
SE,73.51,782,72.4,81.9,68.2,76.7,540,17,20.4,64.7,9,Nordeste,22
AM,79.17,753,71.7,81.7,68.4,75.2,522,18.8,20.1,36.3,5,Norte,19
AL,73.64,598,71.2,81.9,66.5,76.1,533,20.9,23.1,54.3,17,Nordeste,17
RR,76.41,1008,71.2,81,68.8,74,515,17.4,28.7,39.7,13,Norte,15
PI,65.77,728,70.9,81.02,66.8,75.1,507,19.7,19.9,21.8,2,Nordeste,10
AP,89.81,840,73.7,82.9,71,76.5,561,23.5,27.9,48.7,13,Norte,7
PA,68.49,671,71.9,81.8,68.2,76,525,17.1,18.8,50.8,4,Norte,4
RO,73.22,823,71.1,80.8,68.1,74.8,488,20.4,18.4,39.3,4,Norte,4
MA,63.07,509,70.3,81.8,66.6,74.2,507,22.4,20.5,34.6,1,Nordeste,4
