ID,name,club,age,height_cm,weight_kg,nationality,eur_value,eur_wage,eur_release_clause,overall,potential,pac,sho,pas,dri,def,phy,international_reputation,skill_moves
20801,Cristiano Ronaldo,Real Madrid CF,32,185,80,Portugal,955e5,565e3,1958e5,94,94,90,93,82,90,33,80,5,5
158023,L. Messi,FC Barcelona,30,170,72,Argentina,105e6,565e3,2153e5,93,93,89,90,86,96,26,61,5,4
190871,Neymar,Paris Saint-Germain,25,175,68,Brazil,123e6,28e4,2368e5,92,94,92,84,79,95,30,60,5,5
176580,L. Suárez,FC Barcelona,30,182,86,Uruguay,97e6,51e4,1989e5,92,92,82,90,79,87,42,81,5,4
167495,M. Neuer,FC Bayern Munich,31,193,92,Germany,61e6,23e4,1007e5,92,92,91,90,95,89,60,91,5,1
188545,R. Lewandowski,FC Bayern Munich,28,185,79,Poland,92e6,355e3,1518e5,91,91,81,88,75,86,38,82,4,3
193080,De Gea,Manchester United,26,193,76,Spain,645e5,215e3,1242e5,90,92,90,85,87,90,58,86,4,1
183277,E. Hazard,Chelsea,26,173,76,Belgium,905e5,295e3,1742e5,90,91,90,82,84,92,32,66,4,4
182521,T. Kroos,Real Madrid CF,27,182,78,Germany,79e6,34e4,162e6,90,90,56,81,89,81,73,70,4,3
167664,G. Higuaín,Juventus,29,184,87,Argentina,77e6,275e3,1271e5,90,90,79,87,70,83,25,74,4,3
155862,Sergio Ramos,Real Madrid CF,31,183,75,Spain,52e6,31e4,1066e5,90,90,76,63,71,71,88,83,4,3
192985,K. De Bruyne,Manchester City,26,181,68,Belgium,83e6,285e3,1598e5,89,92,75,84,88,85,45,75,4,4
192119,T. Courtois,Chelsea,25,199,94,Belgium,59e6,19e4,1136e5,89,92,85,91,69,88,49,86,4,1
184941,A. Sánchez,Arsenal,28,169,62,Chile,675e5,265e3,1249e5,89,89,86,84,80,89,40,78,4,4
177003,L. Modrić,Real Madrid CF,31,174,65,Croatia,57e6,34e4,1169e5,89,89,73,75,86,89,72,65,4,4
173731,G. Bale,Real Madrid CF,27,183,74,Wales,695e5,37e4,1425e5,89,89,94,87,84,85,57,76,4,4
153079,S. Agüero,Manchester City,29,173,70,Argentina,665e5,325e3,123e6,89,89,87,88,75,89,23,72,4,4
138956,G. Chiellini,Juventus,32,187,85,Italy,38e6,225e3,627e5,89,89,74,46,56,59,90,85,4,2
1179,G. Buffon,Juventus,39,191,94,Italy,45e5,11e4,74e5,89,89,89,88,74,84,46,90,4,1
211110,P. Dybala,Juventus,23,177,73,Argentina,79e6,215e3,1363e5,88,93,86,85,81,91,24,67,3,4
200389,J. Oblak,Atlético Madrid,24,189,82,Slovenia,57e6,82e3,1211e5,88,93,84,90,77,84,52,87,3,1
